서비스_업종_코드_명,상권_코드_명,rank_업종별
PC방,G타워,1.0
가구,KB국민은행 망원동지점,1.0
가방,가로수길,1.0
가전제품,가락시장역,1.0
가전제품수리,KB국민은행 망원동지점,1.0
고시원,G타워,1.0
골프연습장,63빌딩,1.0
네일숍,DMC(디지털미디어시티),1.0
노래방,4.19민주묘지역 2번,1.0
당구장,4.19민주묘지역 2번,1.0
문구,63빌딩,1.0
미곡판매,KB국민은행 망원동지점,1.0
미용실,4.19민주묘지역 2번,1.0
반찬가게,DMC(디지털미디어시티),1.5
부동산중개업,가산디지털단지,1.0
분식전문점,4.19민주묘지역 2번,1.0
서적,DMC(디지털미디어시티),1.0
섬유제품,가로수길,1.0
세탁소,4.19민주묘지역 2번,1.0
수산물판매,NH농협은행 보광동지점,1.0
슈퍼마켓,4.19민주묘지역 2번,1.0
스포츠 강습,DMC(디지털미디어시티),1.0
스포츠클럽,DMC(디지털미디어시티),1.0
시계및귀금속,4.19민주묘지역 2번,1.0
신발,DMC(디지털미디어시티),1.0
안경,DMC(디지털미디어시티),1.0
애완동물,GS강동자이아파트,1.0
양식음식점,63빌딩,1.0
여관,4.19민주묘지역 2번,1.0
예술학원,GS강동자이아파트,1.0
완구,KT&G 북부지사,1.0
외국어학원,GS강동자이아파트,1.0
운동/경기용품,63빌딩,1.0
육류판매,4.19민주묘지역 2번,1.0
의료기기,GS강동자이아파트,1.0
의약품,4.19민주묘지역 2번,1.0
인테리어,4.19민주묘지역 2번,1.0
일반교습학원,DMC(디지털미디어시티),1.0
일반의류,4.19민주묘지역 2번,1.0
일반의원,DMC(디지털미디어시티),1.0
일식음식점,4.19민주묘지역 2번,1.0
자동차미용,DMC(디지털미디어시티),1.0
자동차수리,GS강동자이아파트,1.0
자전거 및 기타운송장비,GS강동자이아파트,1.0
전자상거래업,DMC(디지털미디어시티),1.0
제과점,DMC(디지털미디어시티),1.0
조명용품,DMC(디지털미디어시티),1.0
중식음식점,DMC(디지털미디어시티),1.0
철물점,GS강동자이아파트,1.0
청과상,NH농협은행 보광동지점,1.0
치과의원,4.19민주묘지역 2번,1.0
치킨전문점,4.19민주묘지역 2번,1.0
커피-음료,4.19민주묘지역 2번,1.0
컴퓨터및주변장치판매,G타워,1.0
패스트푸드점,63빌딩,1.0
편의점,4.19민주묘지역 2번,1.0
피부관리실,63빌딩,1.0
한식음식점,4.19민주묘지역 2번,1.0
한의원,DMC(디지털미디어시티),1.0
핸드폰,KB국민은행 서강지점,1.0
호프-간이주점,4.19민주묘지역 2번,1.0
화장품,63빌딩,1.0
화초,63빌딩,1.0
